@relation 2021_US_Open_Finish_Encoded-weka.filters.unsupervised.attribute.NumericToNominal-R22-weka.filters.unsupervised.attribute.Remove-R3-15

@attribute hole_par numeric
@attribute strokes numeric
@attribute sg_putt numeric
@attribute sg_arg numeric
@attribute sg_app numeric
@attribute sg_ott numeric
@attribute sg_t2g numeric
@attribute sg_total numeric
@attribute Finish {1,2,3,4,5,6}

@data
284,294,-0.53,0.59,-0.3,0.01,0.3,-0.22,6
284,290,2.07,0,-0.7,-0.59,-1.29,0.78,4
284,289,1.08,0.29,-0.47,0.12,-0.05,1.03,4
284,287,1.33,-2,1.3,0.9,0.2,1.53,3
284,283,-0.66,1.21,1.6,0.37,3.18,2.53,1
284,286,0.16,0.95,0.72,-0.05,1.61,1.78,2
284,282,0.72,0.04,1.16,0.86,2.06,2.78,1
284,292,-0.07,0.19,-0.36,0.52,0.35,0.28,5
284,287,1.63,-0.25,0.65,-0.51,-0.1,1.53,3
284,288,0.37,0.34,0.98,-0.41,0.91,1.28,4
284,294,0.07,-0.06,-0.54,0.31,-0.29,-0.22,6
284,282,-0.1,0.19,1.46,1.23,2.88,2.78,1
284,290,-1.02,0.43,1.26,0.11,1.8,0.78,4
284,286,0.33,1.33,0.08,0.04,1.44,1.78,2
284,283,0.52,0.23,1.46,0.33,2.01,2.53,1
284,291,1.35,-0.38,-0.85,0.41,-0.83,0.53,5
284,286,0.93,-0.18,0.61,0.41,0.85,1.78,2
284,288,0.49,1.26,-0.09,-0.4,0.78,1.27,4
284,303,-0.75,0.42,-0.89,-1.25,-1.73,-2.47,6
284,284,0.94,0.89,0.59,-0.14,1.33,2.28,2
284,282,-0.05,1.24,1.17,0.42,2.83,2.78,1
284,295,-0.88,0.08,0.08,0.25,0.41,-0.47,6
284,292,-0.37,-0.34,-0.17,1.15,0.65,0.28,5
284,281,1.01,0.96,0.99,0.07,2.02,3.03,1
284,287,0.18,0.22,1.24,-0.11,1.35,1.53,3
284,290,1.29,-0.22,-0.42,0.13,-0.51,0.78,4
284,288,-0.22,-0.24,0.82,0.92,1.5,1.28,4
284,290,1.11,0.2,-0.28,-0.26,-0.34,0.78,4
284,278,0.91,0.57,1.25,1.06,2.87,3.78,1
284,286,0.3,0.07,1.3,0.09,1.47,1.78,2
284,286,1.26,0.7,0.03,-0.21,0.52,1.78,2
284,294,-1.47,-0.02,0.75,0.52,1.25,-0.22,6
284,303,0.26,-1.04,-1.11,-0.57,-2.73,-2.47,6
284,293,0.84,0.2,-0.65,-0.37,-0.81,0.03,6
284,285,0.7,0.85,0.76,-0.29,1.32,2.03,2
284,298,-0.11,-1.36,0.47,-0.23,-1.12,-1.22,6
284,289,-0.02,-0.05,1.11,-0.01,1.05,1.03,4
284,279,1.86,0.61,0.72,0.33,1.67,3.53,1
284,291,0.5,-0.18,-0.23,0.44,0.02,0.53,5
284,293,-0.81,-0.11,0.31,0.64,0.84,0.03,6
284,285,0.92,0.49,0.94,-0.32,1.11,2.03,2
284,297,-0.59,1.37,-1.33,-0.43,-0.39,-0.97,6
284,287,0.69,-0.09,1.85,-0.93,0.84,1.53,3
284,296,0.1,-0.47,0.12,-0.48,-0.83,-0.72,6
284,285,1.23,-0.86,0.53,1.12,0.79,2.03,2
284,285,0.91,0.84,-0.19,0.47,1.12,2.03,2
284,283,0.04,0.81,1.14,0.54,2.49,2.53,1
284,295,-1.15,0.27,0.19,0.21,0.68,-0.47,6
284,286,0.58,0.9,0.27,0.01,1.19,1.78,2
284,288,1.63,-0.77,-0.34,0.76,-0.35,1.28,4
284,292,0.47,0.28,-0.4,-0.07,-0.19,0.28,5
284,284,0.65,0.34,1.6,-0.32,1.63,2.28,2
284,287,0.25,-0.36,1.95,-0.31,1.27,1.53,3
284,289,-0.32,0.48,0.64,0.23,1.34,1.03,4
284,283,-0.58,1.07,1.11,0.93,3.11,2.53,1
284,294,-0.07,-0.07,0.05,-0.13,-0.15,-0.22,6
284,286,0.57,-0.4,1.31,0.29,1.2,1.78,2
284,289,0.4,0.31,0.3,0.01,0.62,1.03,4
284,290,-0.64,-0.07,0.62,0.86,1.42,0.78,4
284,297,-1.28,0.05,1.04,-0.79,0.31,-0.97,6
284,283,2.12,-0.25,0.63,0.03,0.41,2.53,1
284,292,0.96,-0.49,0.06,-0.26,-0.68,0.28,5
284,291,-0.01,0,0.37,0.17,0.54,0.53,5
284,297,0.08,0.02,-0.31,-0.76,-1.05,-0.97,6
284,298,-0.9,-0.66,-0.6,0.93,-0.32,-1.22,6
284,290,0.2,0.1,0.81,-0.33,0.58,0.78,4
284,283,-0.38,0.4,0.98,1.53,2.9,2.53,1
280,301,-1.35,0.35,0.52,-0.71,0.16,-1.18,6
280,299,-0.26,1.04,-0.93,-0.53,-0.42,-0.68,6
280,287,0.97,0.89,0.15,0.3,1.34,2.32,2
280,288,1.61,0.03,0.97,-0.54,0.45,2.07,2
280,294,0.78,-0.27,-0.29,0.35,-0.21,0.57,4
280,274,1.09,1.24,1.9,1.33,4.48,5.57,1
280,294,0.63,0.86,-0.71,-0.21,-0.06,0.57,4
280,294,0.9,-0.01,-0.37,0.05,-0.33,0.57,4
280,290,1.58,-0.14,0.44,-0.31,-0.01,1.57,3
280,292,-1.68,0.06,1.57,1.12,2.75,1.07,4
280,295,-0.08,0.42,0.33,-0.36,0.4,0.32,5
280,300,-0.4,1.18,-0.77,-0.94,-0.53,-0.93,6
280,298,-0.37,-0.36,0.01,0.29,-0.06,-0.43,6
280,291,1.51,0.62,-1.22,0.4,-0.19,1.32,3
280,294,1.08,-0.47,0.03,-0.08,-0.52,0.57,4
280,293,1.42,-0.4,0.4,-0.6,-0.6,0.82,4
