@relation 2022_Masters_Finish_Encoded-weka.filters.unsupervised.attribute.NumericToNominal-R22-weka.filters.unsupervised.attribute.Remove-R3-15

@attribute hole_par numeric
@attribute strokes numeric
@attribute sg_putt numeric
@attribute sg_arg numeric
@attribute sg_app numeric
@attribute sg_ott numeric
@attribute sg_t2g numeric
@attribute sg_total numeric
@attribute Finish {1,2,3,4,5,6}

@data
288,302,-0.11,-0.63,-0.6,-0.31,-1.54,-1.65,5
288,296,0.06,-0.57,0.83,-0.46,-0.2,-0.14,5
288,295,-0.48,-0.97,0.52,1.03,0.58,0.1,4
288,297,0.43,-0.5,-0.12,-0.21,-0.83,-0.4,5
288,288,0.3,-0.13,0.86,0.83,1.56,1.85,1
288,285,0.23,1.13,0.64,0.6,2.38,2.6,1
288,300,-0.22,-0.45,0.15,-0.62,-0.93,-1.15,5
288,284,0.18,0.95,1.33,0.4,2.67,2.85,1
288,288,-0.04,0.63,1.58,-0.32,1.9,1.85,1
288,283,0.98,0.48,2.31,-0.67,2.12,3.1,1
288,303,-0.39,-0.03,-0.57,-0.9,-1.51,-1.9,5
288,289,-0.61,1.14,0.97,0.1,2.21,1.6,2
288,289,2.13,-0.09,-0.73,0.28,-0.53,1.6,2
288,290,-0.35,-0.1,1.69,0.11,1.7,1.35,2
288,290,-0.76,1.14,0.28,0.7,2.11,1.35,2
288,293,0.17,0.07,0.29,0.07,0.43,0.6,3
288,291,0.51,0.19,0.08,0.32,0.59,1.1,3
288,290,0.49,0.53,-0.7,1.04,0.86,1.35,2
288,294,-0.01,-0.42,0.4,0.39,0.37,0.35,4
288,292,0.35,-0.05,0.06,0.49,0.51,0.85,3
288,291,0.18,0.06,0.61,0.25,0.92,1.1,3
288,287,0.72,0.66,1.35,-0.62,1.39,2.1,1
288,297,-0.52,-0.24,1.17,-0.8,0.12,-0.4,5
288,290,-0.48,-0.26,2.35,-0.25,1.83,1.35,2
288,293,-0.51,0.6,-0.05,0.56,1.12,0.6,3
288,290,1.67,-0.64,0.6,-0.28,-0.32,1.35,2
288,290,-0.09,0.23,0.04,1.18,1.45,1.35,2
288,302,-0.88,-1.03,0.39,-0.13,-0.77,-1.65,5
288,303,-0.37,-0.18,-1.36,0.01,-1.52,-1.9,5
288,293,-1.61,1.44,0.79,-0.01,2.21,0.6,3
288,295,-1.39,-0.25,0.81,0.94,1.5,0.1,4
288,294,1.15,-0.28,-0.55,0.04,-0.79,0.35,4
288,293,0.07,-0.01,0.28,0.27,0.54,0.6,3
288,291,-0.17,-0.28,1.7,-0.14,1.28,1.1,3
288,287,0.94,0.22,0.38,0.56,1.17,2.1,1
288,295,1.21,-0.71,0.34,-0.74,-1.11,0.1,4
288,283,1.42,1.41,-0.97,1.24,1.68,3.1,1
288,292,-0.27,0,0.46,0.66,1.13,0.85,3
288,278,0.71,1.44,1.44,0.76,3.64,4.36,1
288,293,0.7,0.25,0.04,-0.38,-0.09,0.6,3
288,294,0.03,-0.12,-0.16,0.6,0.33,0.35,4
288,290,0.07,0.48,-0.3,1.1,1.28,1.35,2
288,290,1.41,-0.18,0.23,-0.1,-0.05,1.35,2
288,305,-1.37,0.18,-0.69,-0.51,-1.02,-2.4,6
288,295,-0.31,0.91,-0.25,-0.25,0.42,0.1,4
288,301,-1.38,-0.12,0.23,-0.13,-0.02,-1.4,5
288,292,0.96,-1.13,0.59,0.44,-0.1,0.85,3
288,294,-0.29,0.55,-0.42,0.52,0.65,0.35,4
288,285,1.4,0.84,-0.19,0.55,1.2,2.6,1
