@relation 2022_PGA_Championship_Finish_Encoded-weka.filters.unsupervised.attribute.NumericToNominal-R22-weka.filters.unsupervised.attribute.Remove-R3-15

@attribute hole_par numeric
@attribute strokes numeric
@attribute sg_putt numeric
@attribute sg_arg numeric
@attribute sg_app numeric
@attribute sg_ott numeric
@attribute sg_t2g numeric
@attribute sg_total numeric
@attribute Finish {1,2,3,4,5,6}

@data
280,279,0.97,-0.22,1.15,0.68,1.61,2.58,1
280,292,-0.01,0.4,-0.08,-0.98,-0.66,-0.67,6
280,285,1.15,-0.4,0.66,-0.34,-0.07,1.08,5
280,282,1.22,-0.17,0.8,-0.02,0.61,1.83,3
280,284,0.04,0.55,1.27,-0.53,1.29,1.33,4
280,290,0.01,0.86,-0.62,-0.42,-0.18,-0.17,6
280,291,0.96,-0.71,-0.83,0.15,-1.39,-0.42,6
280,288,1.33,-0.22,-0.53,-0.25,-1,0.33,6
280,279,-0.06,0.29,1.85,0.49,2.64,2.58,1
280,283,-0.34,0.29,1.24,0.39,1.91,1.58,3
280,283,-0.15,0.35,1.12,0.26,1.73,1.58,3
280,286,0.43,0.52,0.12,-0.24,0.4,0.83,5
280,277,0.39,1.25,1.01,0.42,2.69,3.08,1
280,288,-0.61,0.31,0.27,0.37,0.94,0.33,6
280,289,0.77,0,-0.38,-0.31,-0.69,0.08,6
280,280,-0.94,0.16,2.42,0.7,3.27,2.33,2
280,285,0.92,-0.26,0.03,0.38,0.15,1.08,5
280,276,0.53,0.39,0.65,1.75,2.8,3.33,1
280,286,1.28,0.27,0.01,-0.73,-0.46,0.83,5
280,280,-0.07,-0.47,1.61,1.26,2.4,2.33,2
280,288,-0.08,1.25,0.01,-0.84,0.41,0.33,6
280,284,0.87,-0.51,0.63,0.34,0.46,1.33,4
280,289,-0.04,0.14,-0.21,0.18,0.11,0.08,6
280,286,-1.27,1.22,0.97,-0.09,2.1,0.83,5
280,288,0.6,0.54,-0.93,0.13,-0.27,0.33,6
280,292,0.04,-0.5,0.49,-0.71,-0.72,-0.67,6
280,289,0.24,0.39,-1.03,0.49,-0.16,0.08,6
280,282,0.52,0.83,-0.35,0.84,1.31,1.83,3
280,286,-0.04,-0.63,-0.34,1.83,0.86,0.83,5
280,280,1.06,0.2,1.29,-0.22,1.27,2.33,2
280,284,-0.81,0.39,0.99,0.76,2.14,1.33,4
280,275,1.58,0.81,0.53,0.66,2,3.58,1
280,286,-0.35,0.31,0.14,0.74,1.18,0.83,5
280,291,0.01,-0.82,0.24,0.15,-0.43,-0.42,6
280,285,0.62,0.02,-0.03,0.47,0.46,1.08,5
280,284,0.43,-0.72,0.1,1.52,0.9,1.33,4
280,282,0.88,1.13,0.8,-0.98,0.95,1.83,3
280,285,0.61,0.41,-0.2,0.26,0.47,1.08,5
280,282,-0.28,-0.04,1.95,0.2,2.11,1.83,3
280,289,1.18,-0.54,-0.2,-0.36,-1.1,0.08,6
280,280,2.19,0.22,-0.23,0.14,0.14,2.33,2
280,285,0.74,-0.78,-0.67,1.79,0.34,1.08,5
280,289,-0.1,0.29,-0.05,-0.07,0.17,0.08,6
280,277,1.25,1.17,0.18,0.48,1.83,3.08,1
280,280,0.48,-0.07,1.73,0.18,1.85,2.33,2
280,284,0.01,1.55,-0.24,0.01,1.32,1.33,4
280,284,0.88,-0.03,-0.21,0.7,0.45,1.33,4
280,295,0.72,-0.85,-0.65,-0.65,-2.14,-1.42,6
280,276,1.37,0.21,1.52,0.22,1.96,3.33,1
280,295,0.7,-0.53,-0.54,-1.06,-2.12,-1.42,6
280,284,0.08,0.64,1.29,-0.68,1.25,1.33,4
280,282,-0.46,1.42,0.4,0.47,2.28,1.83,3
280,287,-0.16,-0.7,1.42,0.03,0.74,0.58,6
280,289,-0.17,0.64,-0.07,-0.33,0.24,0.08,6
280,289,0.9,-0.04,-0.45,-0.33,-0.82,0.08,6
280,281,1.28,-0.53,1.03,0.3,0.8,2.08,2
280,282,0.28,-0.24,0.53,1.26,1.54,1.83,3
280,289,-1.41,0.92,1.27,-0.7,1.49,0.08,6
280,282,0.74,0.38,-0.1,0.8,1.08,1.83,3
280,288,-0.66,0.36,0.79,-0.16,0.99,0.33,6
280,292,-0.24,-0.45,0.32,-0.3,-0.43,-0.67,6
280,279,0.38,0.92,0.87,0.41,2.2,2.58,1
280,298,-0.74,-0.16,-1.02,-0.25,-1.43,-2.17,6
280,283,0.17,0.55,0.55,0.31,1.41,1.58,3
280,277,0.91,0.66,1.18,0.33,2.17,3.08,1
280,281,0.07,0.73,0.79,0.49,2.01,2.08,2
280,280,0.88,0.41,0.9,0.14,1.45,2.33,2
280,279,1.16,0.3,1.96,-0.84,1.42,2.58,1
280,285,0.02,1.7,-0.4,-0.24,1.06,1.08,5
280,292,-0.2,-0.4,0.12,-0.19,-0.47,-0.67,6
280,285,-0.05,0.1,0.67,0.36,1.12,1.08,5
280,281,0.51,0.38,0.65,0.54,1.56,2.08,2
280,275,1.16,0.63,1.28,0.5,2.41,3.58,1
280,280,0.36,0.15,0.99,0.82,1.97,2.33,2
