@relation 2022_WM_Open_Finish_Encoded-weka.filters.unsupervised.attribute.NumericToNominal-R22-weka.filters.unsupervised.attribute.Remove-R3-15

@attribute hole_par numeric
@attribute strokes numeric
@attribute sg_putt numeric
@attribute sg_arg numeric
@attribute sg_app numeric
@attribute sg_ott numeric
@attribute sg_t2g numeric
@attribute sg_total numeric
@attribute Finish {1,2,3,4,5,6}

@data
284,280,-0.2,-0.74,-0.21,1.37,0.42,0.23,5
284,286,-0.1,-0.59,-0.58,-0.01,-1.18,-1.27,6
284,276,0.28,0.3,0.93,-0.28,0.95,1.23,3
284,270,1.86,0.25,0.32,0.3,0.87,2.73,1
284,279,0.43,0.27,0.14,-0.36,0.05,0.48,4
284,282,-0.68,0.35,0.04,0.01,0.4,-0.27,6
284,281,0.61,0.44,-0.82,-0.26,-0.64,-0.02,5
284,273,-0.13,0.68,0.81,0.62,2.11,1.98,2
284,270,1.28,0.28,0.15,1.02,1.45,2.73,1
284,269,1.5,-0.32,0.55,1.24,1.48,2.98,1
284,283,-0.23,-0.21,0.1,-0.18,-0.29,-0.52,6
284,276,1.22,0.02,0.18,-0.18,0.01,1.23,3
284,273,-0.26,-0.07,1.94,0.38,2.24,1.98,2
284,279,0.66,-0.29,-0.56,0.67,-0.19,0.48,4
284,293,-0.14,-0.49,-1.41,-0.98,-2.88,-3.02,6
284,273,0.57,0.22,0.45,0.73,1.4,1.98,2
284,277,0.92,-0.57,0.8,-0.18,0.06,0.98,4
284,276,0.62,-0.3,-0.53,1.44,0.6,1.23,3
284,281,-1.01,-0.54,1.56,-0.04,0.99,-0.02,5
284,280,1.17,0.04,-0.43,-0.56,-0.94,0.23,5
284,274,0.34,0.51,-0.04,0.91,1.38,1.73,3
284,281,0.76,-0.4,-1.13,0.74,-0.78,-0.02,5
284,271,0.88,0.24,1.27,0.08,1.6,2.48,1
284,284,-1.86,0.03,1,0.05,1.08,-0.77,6
284,282,-1.41,0.01,1.36,-0.24,1.14,-0.27,6
284,285,0.57,-0.95,0.27,-0.91,-1.6,-1.02,6
284,275,0.57,0.2,-0.26,0.97,0.91,1.48,3
284,272,-0.58,-0.18,1,1.99,2.81,2.23,1
284,284,-0.81,-0.6,0.44,0.2,0.04,-0.77,6
284,271,-0.7,0.57,1.78,0.83,3.18,2.48,1
284,276,-0.36,-0.06,0.71,0.94,1.59,1.23,3
284,280,-0.11,-0.1,1.03,-0.59,0.34,0.23,5
284,282,0.06,-0.57,-0.39,0.63,-0.33,-0.27,6
284,279,1.59,-0.15,0.14,-1.11,-1.11,0.48,4
284,279,0.17,0.43,-1.29,1.16,0.3,0.48,4
284,272,-0.09,0.6,0.5,1.22,2.32,2.23,1
284,282,-0.61,-0.31,0.47,0.18,0.34,-0.27,6
284,278,-0.29,0.81,0.68,-0.47,1.02,0.73,4
284,282,-1.47,0.04,0.99,0.16,1.19,-0.27,6
284,273,0.67,0.44,0.34,0.53,1.31,1.98,2
284,272,0.43,0.07,1.06,0.66,1.79,2.23,1
284,273,0.91,-0.45,0.26,1.26,1.07,1.98,2
284,283,-0.03,-0.16,0.25,-0.59,-0.49,-0.52,6
284,273,1.23,1.1,-0.56,0.2,0.75,1.98,2
284,280,0.87,0.77,-0.85,-0.56,-0.64,0.23,5
284,268,1.36,0.42,0.5,0.94,1.87,3.23,1
284,272,-0.09,0.73,0.94,0.64,2.31,2.23,1
284,287,0.78,-0.98,-0.82,-0.5,-2.3,-1.52,6
284,277,0.38,1.4,-0.15,-0.66,0.6,0.98,4
284,277,-0.11,-0.32,1.17,0.23,1.09,0.98,4
284,281,0.33,-0.18,0.27,-0.44,-0.35,-0.02,5
284,277,1.21,-0.73,0.64,-0.14,-0.23,0.98,4
284,280,0.87,-0.14,-0.23,-0.27,-0.64,0.23,5
284,285,0.14,0.37,0.59,-2.12,-1.16,-1.02,6
284,276,-0.01,0.34,1.16,-0.27,1.24,1.23,3
284,276,-0.85,1.08,-0.26,1.26,2.08,1.23,3
284,275,-0.96,0.6,0.91,0.92,2.44,1.48,3
284,275,0.22,0.46,0.29,0.51,1.26,1.48,3
284,268,1.62,0.69,-0.4,1.31,1.6,3.23,1
284,274,1.61,0.02,0.32,-0.22,0.12,1.73,3
284,291,-0.58,-1.18,-0.76,0,-1.95,-2.52,6
284,269,1.33,0.51,0.94,0.2,1.65,2.98,1
284,276,0.45,0.52,0.4,-0.14,0.78,1.23,3
284,273,0.96,-0.36,0.93,0.45,1.02,1.98,2
284,279,-0.31,-0.52,0.6,0.7,0.78,0.48,4
284,269,-0.31,1.01,1.04,1.24,3.29,2.98,1
284,280,1.08,0.47,-0.18,-1.14,-0.85,0.23,5
