@relation PGA_Data_Finish_Encoded-weka.filters.unsupervised.attribute.NumericToNominal-R22-weka.filters.unsupervised.attribute.Remove-R3-15

@attribute hole_par numeric
@attribute strokes numeric
@attribute sg_putt numeric
@attribute sg_arg numeric
@attribute sg_app numeric
@attribute sg_ott numeric
@attribute sg_t2g numeric
@attribute sg_total numeric
@attribute Finish {1,2,3,4,5,6}

@data
288,289,0.2,-0.13,-0.08,0.86,0.65,0.85,4
288,286,0.36,0.75,0.31,0.18,1.24,1.6,2
288,287,2.05,0.74,-1.32,-0.12,-0.7,1.35,3
288,287,-0.96,-0.01,1.84,0.48,2.31,1.35,3
288,299,-0.82,-1.79,2,-1.04,-0.83,-1.65,6
288,291,0.28,-0.02,-0.18,0.26,0.07,0.35,5
288,279,1.16,0.05,1.96,0.18,2.19,3.35,1
288,286,0.12,0.66,0.17,0.65,1.48,1.6,2
288,275,0.95,1.31,1.25,0.84,3.39,4.35,1
288,289,1.94,0.43,-1.5,-0.03,-1.09,0.85,4
288,295,1.12,0.25,-1.1,-0.92,-1.77,-0.65,6
288,284,0.2,-0.22,1.26,0.86,1.9,2.1,1
288,300,-2.44,0.3,0.12,0.12,0.54,-1.9,6
288,285,-0.24,-0.47,2.03,0.53,2.09,1.85,2
288,294,0.19,-0.88,0.88,-0.6,-0.59,-0.4,6
288,286,0.52,-0.36,1.03,0.4,1.08,1.6,2
288,299,-1.4,-0.98,0.53,0.19,-0.26,-1.65,6
288,294,-0.02,0.45,-1.28,0.45,-0.38,-0.4,6
288,296,0.88,-0.44,-0.8,-0.55,-1.78,-0.9,6
288,294,-0.36,0.21,0.79,-1.05,-0.04,-0.4,6
288,285,0.75,1.38,0.17,-0.49,1.01,1.76,2
288,292,-0.18,0.35,-0.67,0.59,0.28,0.1,5
288,294,-0.71,0.52,0.01,-0.22,0.31,-0.4,6
288,295,-0.68,0.32,-1.18,0.89,0.03,-0.65,6
288,282,1.65,-0.5,1.34,0.1,0.95,2.6,1
288,295,-0.6,-1.17,0.41,0.71,-0.05,-0.65,6
288,292,0.09,-0.8,1.05,-0.24,0.01,0.1,5
288,290,0.46,0.27,0.31,-0.43,0.14,0.6,4
288,282,1.21,1.76,0.53,-0.71,1.55,2.76,1
288,285,0.73,0.12,1.28,-0.29,1.12,1.85,2
288,289,-0.48,1.04,-1,1.28,1.32,0.85,4
288,287,0.59,0.7,0.57,-0.51,0.76,1.35,3
288,286,0.81,-0.99,1.68,0.1,0.79,1.6,2
288,289,0.26,0.36,-0.2,0.42,0.59,0.85,4
288,288,1.04,0.81,-0.87,0.13,0.06,1.1,4
288,281,0.67,-0.57,1.58,1.18,2.18,2.85,1
288,290,0.7,-0.42,0.61,-0.3,-0.1,0.6,4
288,284,1.4,0.48,0.72,-0.51,0.7,2.1,1
288,286,1.26,0.64,-0.67,0.37,0.34,1.6,2
288,290,-0.28,0.11,0.46,0.3,0.88,0.6,4
288,290,0.85,-0.52,0.07,0.2,-0.25,0.6,4
