hole_par,strokes,hole_DKP,hole_FDP,hole_SDP,streak_DKP,streak_FDP,streak_SDP,n_rounds,finish_DKP,finish_FDP,finish_SDP,total_DKP,total_FDP,total_SDP,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,Finish
284,294,44.5,33.7,41,0,6.2,0,4,0,0,0,44.5,39.9,41,-0.53,0.59,-0.3,0.01,0.3,-0.22,6
284,290,45.5,37.5,51,0,1.6,0,4,2,1,0,47.5,40.1,51,2.07,0,-0.7,-0.59,-1.29,0.78,4
284,289,54.5,44,49,0,7.6,0,4,2,1,0,56.5,52.6,49,1.08,0.29,-0.47,0.12,-0.05,1.03,4
284,287,61,51.3,57,3,10.6,4,4,3,2,0,67,63.9,61,1.33,-2,1.3,0.9,0.2,1.53,3
284,283,57.5,52,63,3,6,4,4,10,10,7,70.5,68,74,-0.66,1.21,1.6,0.37,3.18,2.53,1
284,286,64.5,54.2,56,0,1.8,0,4,5,4,2,69.5,60,58,0.16,0.95,0.72,-0.05,1.61,1.78,2
284,282,60.5,55.5,61,0,7.2,0,4,16,16,10,76.5,78.7,71,0.72,0.04,1.16,0.86,2.06,2.78,1
284,292,52,41.5,43,3,8.6,3,4,1,0,0,56,50.1,46,-0.07,0.19,-0.36,0.52,0.35,0.28,5
284,287,57,47.7,54,0,6,0,4,3,2,0,60,55.7,54,1.63,-0.25,0.65,-0.51,-0.1,1.53,3
284,288,51,43.4,54,0,1.2,0,4,2,1,0,53,45.6,54,0.37,0.34,0.98,-0.41,0.91,1.28,4
284,294,43.5,32.1,43,0,6,0,4,0,0,0,43.5,38.1,43,0.07,-0.06,-0.54,0.31,-0.29,-0.22,6
284,282,65.5,56.9,63,3,7.2,3,4,16,16,10,84.5,80.1,76,-0.1,0.19,1.46,1.23,2.88,2.78,1
284,290,48.5,38.3,53,3,7.2,4,4,2,1,0,53.5,46.5,57,-1.02,0.43,1.26,0.11,1.8,0.78,4
284,286,46,41.8,60,0,0.6,0,4,5,4,2,51,46.4,62,0.33,1.33,0.08,0.04,1.44,1.78,2
284,283,53.5,49.6,63,0,0.8,0,4,10,10,7,63.5,60.4,70,0.52,0.23,1.46,0.33,2.01,2.53,1
284,291,41.5,33.8,51,0,0.8,0,4,1,0,0,42.5,34.6,51,1.35,-0.38,-0.85,0.41,-0.83,0.53,5
284,286,52,46.1,59,0,1.2,0,4,5,4,2,57,51.3,61,0.93,-0.18,0.61,0.41,0.85,1.78,2
284,288,48,40,56,0,0.6,0,4,0,0,0,48,40.6,56,0.49,1.26,-0.09,-0.4,0.78,1.27,4
284,303,28,12.1,32,0,5.8,0,4,0,0,0,28,17.9,32,-0.75,0.42,-0.89,-1.25,-1.73,-2.47,6
284,284,57,51.4,58,0,10.8,0,4,6,5,3,63,67.2,61,0.94,0.89,0.59,-0.14,1.33,2.28,2
284,282,56,52.2,64,0,6.4,0,4,16,16,10,72,74.6,74,-0.05,1.24,1.17,0.42,2.83,2.78,1
284,295,35.5,27.2,43,0,0.4,0,4,0,0,0,35.5,27.6,43,-0.88,0.08,0.08,0.25,0.41,-0.47,6
284,292,43.5,34.5,47,0,1,0,4,1,0,0,44.5,35.5,47,-0.37,-0.34,-0.17,1.15,0.65,0.28,5
284,281,61,56.1,66,0,6.6,0,4,18,18,11,79,80.7,77,1.01,0.96,0.99,0.07,2.02,3.03,1
284,287,52,43.7,56,0,1.4,0,4,3,2,0,55,47.1,56,0.18,0.22,1.24,-0.11,1.35,1.53,3
284,290,50,40.8,48,0,6.2,0,4,2,1,0,52,48,48,1.29,-0.22,-0.42,0.13,-0.51,0.78,4
284,288,49.5,41.1,55,0,6.2,0,4,2,1,0,51.5,48.3,55,-0.22,-0.24,0.82,0.92,1.5,1.28,4
284,290,46,37,52,0,1.2,0,4,2,1,0,48,39.2,52,1.11,0.2,-0.28,-0.26,-0.34,0.78,4
284,278,65,61,70,0,12.4,0,4,30,30,15,95,103.4,85,0.91,0.57,1.25,1.06,2.87,3.78,1
284,286,52.5,45.7,57,0,6.8,0,4,5,4,2,57.5,56.5,59,0.3,0.07,1.3,0.09,1.47,1.78,2
284,286,47,40.8,62,0,1,0,4,5,4,2,52,45.8,64,1.26,0.7,0.03,-0.21,0.52,1.78,2
284,294,42.5,30.5,45,0,1.4,0,4,0,0,0,42.5,31.9,45,-1.47,-0.02,0.75,0.52,1.25,-0.22,6
284,303,24,10.9,32,0,0.2,0,4,0,0,0,24,11.1,32,0.26,-1.04,-1.11,-0.57,-2.73,-2.47,6
284,293,37.5,30.2,47,0,1,0,4,0,0,0,37.5,31.2,47,0.84,0.2,-0.65,-0.37,-0.81,0.03,6
284,285,53,47.7,58,0,6.8,0,4,6,5,3,59,59.5,61,0.7,0.85,0.76,-0.29,1.32,2.03,2
284,298,39,25.1,41,0,0.6,0,4,0,0,0,39,25.7,41,-0.11,-1.36,0.47,-0.23,-1.12,-1.22,6
284,289,51.5,43,51,0,1.6,0,4,2,1,0,53.5,45.6,51,-0.02,-0.05,1.11,-0.01,1.05,1.03,4
284,279,66,61.3,68,3,7.2,3,4,20,20,13,89,88.5,84,1.86,0.61,0.72,0.33,1.67,3.53,1
284,291,38,32.1,52,0,0,0,4,1,0,0,39,32.1,52,0.5,-0.18,-0.23,0.44,0.02,0.53,5
284,293,51,37.5,42,0,7,0,4,0,0,0,51,44.5,42,-0.81,-0.11,0.31,0.64,0.84,0.03,6
284,285,63.5,52.6,59,3,7,3,4,6,5,3,72.5,64.6,65,0.92,0.49,0.94,-0.32,1.11,2.03,2
284,297,34.5,23.2,41,0,0.2,0,4,0,0,0,34.5,23.4,41,-0.59,1.37,-1.33,-0.43,-0.39,-0.97,6
284,287,55.5,46.6,55,0,0.4,0,4,3,2,0,58.5,49,55,0.69,-0.09,1.85,-0.93,0.84,1.53,3
284,296,38.5,26.9,41,3,6.6,3,4,0,0,0,41.5,33.5,44,0.1,-0.47,0.12,-0.48,-0.83,-0.72,6
284,285,61.5,52.2,55,0,8,0,4,6,5,3,67.5,65.2,58,1.23,-0.86,0.53,1.12,0.79,2.03,2
284,285,47.5,42.8,63,6,10.8,8,4,6,5,3,59.5,58.6,74,0.91,0.84,-0.19,0.47,1.12,2.03,2
284,283,60,53.5,60,3,7.8,3,4,10,10,7,73,71.3,70,0.04,0.81,1.14,0.54,2.49,2.53,1
284,295,39,28.9,42,0,0.4,0,4,0,0,0,39,29.3,42,-1.15,0.27,0.19,0.21,0.68,-0.47,6
284,286,49,44,58,0,6.4,0,4,5,4,2,54,54.4,60,0.58,0.9,0.27,0.01,1.19,1.78,2
284,288,47.5,40.5,55,0,1.6,0,4,2,1,0,49.5,43.1,55,1.63,-0.77,-0.34,0.76,-0.35,1.28,4
284,292,46.5,35.3,49,3,5.4,4,4,1,0,0,50.5,40.7,53,0.47,0.28,-0.4,-0.07,-0.19,0.28,5
284,284,55.5,50.3,59,0,5.8,0,4,6,5,3,61.5,61.1,62,0.65,0.34,1.6,-0.32,1.63,2.28,2
284,287,55,45.9,54,0,2,0,4,3,2,0,58,49.9,54,0.25,-0.36,1.95,-0.31,1.27,1.53,3
284,289,43.5,36.8,55,0,0.2,0,4,2,1,0,45.5,38,55,-0.32,0.48,0.64,0.23,1.34,1.03,4
284,283,61.5,54.6,59,0,11.8,0,4,10,10,7,71.5,76.4,66,-0.58,1.07,1.11,0.93,3.11,2.53,1
284,294,38.5,29.3,45,0,0.6,0,4,0,0,0,38.5,29.9,45,-0.07,-0.07,0.05,-0.13,-0.15,-0.22,6
284,286,57.5,48.5,55,0,6.6,0,4,5,4,2,62.5,59.1,57,0.57,-0.4,1.31,0.29,1.2,1.78,2
284,289,44.5,38.4,53,0,0.8,0,4,2,1,0,46.5,40.2,53,0.4,0.31,0.3,0.01,0.62,1.03,4
284,290,51.5,41.9,47,0,6.8,0,4,2,1,0,53.5,49.7,47,-0.64,-0.07,0.62,0.86,1.42,0.78,4
284,297,39,26.4,41,0,1.6,0,4,0,0,0,39,28,41,-1.28,0.05,1.04,-0.79,0.31,-0.97,6
284,283,63,55.7,58,0,6,0,4,10,10,7,73,71.7,65,2.12,-0.25,0.63,0.03,0.41,2.53,1
284,292,44,34,48,0,1.2,0,4,1,0,0,45,35.2,48,0.96,-0.49,0.06,-0.26,-0.68,0.28,5
284,291,49,39.3,46,0,6.6,0,4,1,0,0,50,45.9,46,-0.01,0,0.37,0.17,0.54,0.53,5
284,297,34,23.7,40,0,1,0,4,0,0,0,34,24.7,40,0.08,0.02,-0.31,-0.76,-1.05,-0.97,6
284,298,37.5,22.9,39,0,0.4,0,4,0,0,0,37.5,23.3,39,-0.9,-0.66,-0.6,0.93,-0.32,-1.22,6
284,290,46.5,39.1,49,0,1.4,0,4,0,0,0,46.5,40.5,49,0.2,0.1,0.81,-0.33,0.58,0.78,4
284,283,58,52.9,60,0,1.8,0,4,10,10,7,68,64.7,67,-0.38,0.4,0.98,1.53,2.9,2.53,1
280,301,29,13.9,22,0,1.4,0,4,0,0,0,29,15.3,22,-1.35,0.35,0.52,-0.71,0.16,-1.18,6
280,299,30.5,14.8,29,0,0.6,0,4,0,0,0,30.5,15.4,29,-0.26,1.04,-0.93,-0.53,-0.42,-0.68,6
280,287,45.5,37.6,47,0,0.6,0,4,6,5,3,51.5,43.2,50,0.97,0.89,0.15,0.3,1.34,2.32,2
280,288,44,34,48,0,1,0,4,5,4,2,49,39,50,1.61,0.03,0.97,-0.54,0.45,2.07,2
280,294,44,29.4,32,0,2.8,0,4,2,1,0,46,33.2,32,0.78,-0.27,-0.29,0.35,-0.21,0.57,4
280,274,72.5,66.3,69,0,6.6,0,4,30,30,15,102.5,102.9,84,1.09,1.24,1.9,1.33,4.48,5.57,1
280,294,34.5,23.3,37,0,0.8,0,4,2,1,0,36.5,25.1,37,0.63,0.86,-0.71,-0.21,-0.06,0.57,4
280,294,42.5,28.3,33,0,1,0,4,2,1,0,44.5,30.3,33,0.9,-0.01,-0.37,0.05,-0.33,0.57,4
280,290,45.5,33.9,43,0,0.8,0,4,4,3,1,49.5,37.7,44,1.58,-0.14,0.44,-0.31,-0.01,1.57,3
280,292,41.5,29,42,3,2.2,3,4,2,1,0,46.5,32.2,45,-1.68,0.06,1.57,1.12,2.75,1.07,4
280,295,38.5,25.8,33,0,0.8,0,4,1,0,0,39.5,26.6,33,-0.08,0.42,0.33,-0.36,0.4,0.32,5
280,300,26.5,11.1,29,0,0.8,0,4,0,0,0,26.5,11.9,29,-0.4,1.18,-0.77,-0.94,-0.53,-0.93,6
280,298,29,16.2,30,0,1.2,0,4,0,0,0,29,17.4,30,-0.37,-0.36,0.01,0.29,-0.06,-0.43,6
280,291,38,28.5,44,0,0.2,0,4,3,2,0,41,30.7,44,1.51,0.62,-1.22,0.4,-0.19,1.32,3
280,294,40,26.7,39,3,7.2,3,4,2,1,0,45,34.9,42,1.08,-0.47,0.03,-0.08,-0.52,0.57,4
280,293,44.5,28.8,37,0,7,0,4,2,1,0,46.5,36.8,37,1.42,-0.4,0.4,-0.6,-0.6,0.82,4
280,285,49,40.3,54,0,1,0,4,12,12,8,61,53.3,62,0.06,0.45,1.85,0.45,2.76,2.82,1
280,290,44.5,33.7,41,0,6.4,0,4,4,3,1,48.5,43.1,42,0.07,0.49,1.36,-0.36,1.49,1.57,3
280,283,48.5,42,57,0,0.8,0,4,16,16,10,64.5,58.8,67,1.23,1.55,0.28,0.25,2.08,3.32,1
280,288,47,36.2,46,3,7,3,4,5,4,2,55,47.2,51,-1.1,0.51,1.76,0.9,3.16,2.07,2
280,294,31.5,21.1,39,0,0.4,0,4,2,1,0,33.5,22.5,39,1.36,0.39,-1.28,0.1,-0.79,0.57,4
