hole_par,strokes,hole_DKP,hole_FDP,hole_SDP,streak_DKP,streak_FDP,streak_SDP,n_rounds,finish_DKP,finish_FDP,finish_SDP,total_DKP,total_FDP,total_SDP,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,Finish
280,279,55,50.7,62,0,6.2,0,4,8,7,5,63,63.9,67,0.97,-0.22,1.15,0.68,1.61,2.58,1
280,292,35.5,24.7,43,0,0,0,4,0,0,0,35.5,24.7,43,-0.01,0.4,-0.08,-0.98,-0.66,-0.67,6
280,285,50,41.9,52,0,1,0,4,1,0,0,51,42.9,52,1.15,-0.4,0.66,-0.34,-0.07,1.08,5
280,282,58.5,50.1,53,0,12.2,0,4,4,3,1,62.5,65.3,54,1.22,-0.17,0.8,-0.02,0.61,1.83,3
280,284,60,48.6,52,3,8,3,4,2,1,0,65,57.6,55,0.04,0.55,1.27,-0.53,1.29,1.33,4
280,290,41.5,31.5,43,0,5.8,0,4,0,0,0,41.5,37.3,43,0.01,0.86,-0.62,-0.42,-0.18,-0.17,6
280,291,37.5,27.8,43,0,0.4,0,4,0,0,0,37.5,28.2,43,0.96,-0.71,-0.83,0.15,-1.39,-0.42,6
280,288,45,35.6,46,0,5.6,0,4,0,0,0,45,41.2,46,1.33,-0.22,-0.53,-0.25,-1,0.33,6
280,279,62.5,54.8,61,0,7,0,4,8,7,5,70.5,68.8,66,-0.06,0.29,1.85,0.49,2.64,2.58,1
280,283,56.5,47,53,3,7.6,3,4,3,2,0,62.5,56.6,56,-0.34,0.29,1.24,0.39,1.91,1.58,3
280,283,59,49.5,56,0,6.8,0,4,3,2,0,62,58.3,56,-0.15,0.35,1.12,0.26,1.73,1.58,3
280,286,46,38.2,52,0,1.6,0,4,1,0,0,47,39.8,52,0.43,0.52,0.12,-0.24,0.4,0.83,5
280,277,61,56.1,66,3,5,4,4,14,14,9,78,75.1,79,0.39,1.25,1.01,0.42,2.69,3.08,1
280,288,42.5,32.9,49,3,6.8,3,4,0,0,0,45.5,39.7,52,-0.61,0.31,0.27,0.37,0.94,0.33,6
280,289,41,31.9,46,0,0.4,0,4,0,0,0,41,32.3,46,0.77,0,-0.38,-0.31,-0.69,0.08,6
280,280,59,52,58,3,7.2,3,4,6,5,3,68,64.2,64,-0.94,0.16,2.42,0.7,3.27,2.33,2
280,285,48,40.1,52,0,0.8,0,4,1,0,0,49,40.9,52,0.92,-0.26,0.03,0.38,0.15,1.08,5
280,276,65.5,59.3,67,3,12,4,4,18,18,11,86.5,89.3,82,0.53,0.39,0.65,1.75,2.8,3.33,1
280,286,42,35.8,52,0,0.4,0,4,1,0,0,43,36.2,52,1.28,0.27,0.01,-0.73,-0.46,0.83,5
280,280,59.5,51.5,59,0,11.8,0,4,6,5,3,65.5,68.3,62,-0.07,-0.47,1.61,1.26,2.4,2.33,2
280,288,40,32.8,48,0,0,0,4,0,0,0,40,32.8,48,-0.08,1.25,0.01,-0.84,0.41,0.33,6
280,284,50,43.2,52,0,1.6,0,4,2,1,0,52,45.8,52,0.87,-0.51,0.63,0.34,0.46,1.33,4
280,289,42.5,33,45,0,1,0,4,0,0,0,42.5,34,45,-0.04,0.14,-0.21,0.18,0.11,0.08,6
