hole_par,strokes,hole_DKP,hole_FDP,hole_SDP,streak_DKP,streak_FDP,streak_SDP,n_rounds,finish_DKP,finish_FDP,finish_SDP,total_DKP,total_FDP,total_SDP,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,Finish
284,280,58,55.2,68,3,11.4,4,4,1,0,0,62,66.6,72,-0.2,-0.74,-0.21,1.37,0.42,0.23,5
284,286,55.5,47.9,55,0,11.2,0,4,0,0,0,55.5,59.1,55,-0.1,-0.59,-0.58,-0.01,-1.18,-1.27,6
284,276,68,65.6,72,9,19.4,10,4,3,2,0,80,87,82,0.28,0.3,0.93,-0.28,0.95,1.23,3
284,270,80,79,80,11,22.8,7,4,12,12,8,103,113.8,95,1.86,0.25,0.32,0.3,0.87,2.73,1
284,279,63,57.9,70,6,7,7,4,2,1,0,71,65.9,77,0.43,0.27,0.14,-0.36,0.05,0.48,4
284,282,63.5,57.7,59,3,12,3,4,0,0,0,66.5,69.7,62,-0.68,0.35,0.04,0.01,0.4,-0.27,6
284,281,60.5,55.4,65,0,6,0,4,1,0,0,61.5,61.4,65,0.61,0.44,-0.82,-0.26,-0.64,-0.02,5
284,273,80,75.3,76,0,10.8,0,4,6,5,3,86,91.1,79,-0.13,0.68,0.81,0.62,2.11,1.98,2
284,270,84.5,80.9,81,14,22.8,10,4,12,12,8,110.5,115.7,99,1.28,0.28,0.15,1.02,1.45,2.73,1
284,269,85.5,83.8,79,5,24.2,0,4,18,18,11,108.5,126,90,1.5,-0.32,0.55,1.24,1.48,2.98,1
284,283,55.5,50.2,63,3,7,3,4,0,0,0,58.5,57.2,66,-0.23,-0.21,0.1,-0.18,-0.29,-0.52,6
284,276,68,65.6,72,0,6.8,0,4,3,2,0,71,74.4,72,1.22,0.02,0.18,-0.18,0.01,1.23,3
284,273,79.5,75.8,75,5,18.6,0,4,6,5,3,90.5,99.4,78,-0.26,-0.07,1.94,0.38,2.24,1.98,2
284,279,71.5,65,63,0,12.6,0,4,2,1,0,73.5,78.6,63,0.66,-0.29,-0.56,0.67,-0.19,0.48,4
284,293,48,35.2,47,3,7.8,3,4,0,0,0,51,43,50,-0.14,-0.49,-1.41,-0.98,-2.88,-3.02,6
284,273,81,76.8,77,6,26.4,8,4,6,5,3,93,108.2,88,0.57,0.22,0.45,0.73,1.4,1.98,2
284,277,74,67.3,72,5,12.4,0,4,2,1,0,81,80.7,72,0.92,-0.57,0.8,-0.18,0.06,0.98,4
284,276,75.5,69.7,71,0,11.6,0,4,3,2,0,78.5,83.3,71,0.62,-0.3,-0.53,1.44,0.6,1.23,3
284,281,64,56.9,68,0,0.2,0,4,1,0,0,65,57.1,68,-1.01,-0.54,1.56,-0.04,0.99,-0.02,5
284,280,68.5,61.5,65,0,12.6,0,4,1,0,0,69.5,74.1,65,1.17,0.04,-0.43,-0.56,-0.94,0.23,5
284,274,75,71.4,74,9,9.8,9,4,4,3,1,88,84.2,84,0.34,0.51,-0.04,0.91,1.38,1.73,3
284,281,62,56.5,64,3,12.4,3,4,1,0,0,66,68.9,67,0.76,-0.4,-1.13,0.74,-0.78,-0.02,5
284,271,86,82.1,76,8,19.6,3,4,9,8,6,103,109.7,85,0.88,0.24,1.27,0.08,1.6,2.48,1
284,284,62.5,52.3,61,0,6.8,0,4,0,0,0,62.5,59.1,61,-1.86,0.03,1,0.05,1.08,-0.77,6
284,282,60,54.6,64,0,6.8,0,4,0,0,0,60,61.4,64,-1.41,0.01,1.36,-0.24,1.14,-0.27,6
284,285,50,45.5,60,0,0.6,0,4,0,0,0,50,46.1,60,0.57,-0.95,0.27,-0.91,-1.6,-1.02,6
284,275,71.5,68.4,75,3,10.6,4,4,4,3,1,78.5,82,80,0.57,0.2,-0.26,0.97,0.91,1.48,3
284,272,77.5,75.1,79,6,11.6,7,4,7,6,4,90.5,92.7,90,-0.58,-0.18,1,1.99,2.81,2.23,1
284,284,63,53,62,0,0.4,0,4,0,0,0,63,53.4,62,-0.81,-0.6,0.44,0.2,0.04,-0.77,6
284,271,73,73.1,82,6,17.6,8,4,9,8,6,88,98.7,96,-0.7,0.57,1.78,0.83,3.18,2.48,1
284,276,72,66.8,72,6,14.4,6,4,3,2,0,81,83.2,78,-0.36,-0.06,0.71,0.94,1.59,1.23,3
284,280,70.5,62.1,65,3,13,3,4,1,0,0,74.5,75.1,68,-0.11,-0.1,1.03,-0.59,0.34,0.23,5
284,282,59.5,53.9,63,3,10.4,4,4,0,0,0,62.5,64.3,67,0.06,-0.57,-0.39,0.63,-0.33,-0.27,6
284,279,72.5,65.2,65,0,13.6,0,4,2,1,0,74.5,79.8,65,1.59,-0.15,0.14,-1.11,-1.11,0.48,4
284,279,69.5,61.6,71,3,7,3,4,2,1,0,74.5,69.6,74,0.17,0.43,-1.29,1.16,0.3,0.48,4
284,272,75,73.8,78,5,7,0,4,7,6,4,87,86.8,82,-0.09,0.6,0.5,1.22,2.32,2.23,1
284,282,53,50,66,0,6.2,0,4,0,0,0,53,56.2,66,-0.61,-0.31,0.47,0.18,0.34,-0.27,6
284,278,72,65.6,68,3,7.6,3,4,2,1,0,77,74.2,71,-0.29,0.81,0.68,-0.47,1.02,0.73,4
284,282,59,53,66,3,10.6,4,4,0,0,0,62,63.6,70,-1.47,0.04,0.99,0.16,1.19,-0.27,6
284,273,83.5,78.2,75,0,18.2,0,4,6,5,3,89.5,101.4,78,0.67,0.44,0.34,0.53,1.31,1.98,2
284,272,83,78.8,74,6,18.8,6,4,7,6,4,96,103.6,84,0.43,0.07,1.06,0.66,1.79,2.23,1
284,273,72.5,71.2,77,9,22.2,11,4,6,5,3,87.5,98.4,91,0.91,-0.45,0.26,1.26,1.07,1.98,2
284,283,57.5,52,63,0,0.6,0,4,0,0,0,57.5,52.6,63,-0.03,-0.16,0.25,-0.59,-0.49,-0.52,6
284,273,74,72.3,76,3,17.6,4,4,6,5,3,83,94.9,83,1.23,1.1,-0.56,0.2,0.75,1.98,2
284,280,64.5,59.1,65,3,13,3,4,1,0,0,68.5,72.1,68,0.87,0.77,-0.85,-0.56,-0.64,0.23,5
284,268,86,84.4,84,14,27.8,11,4,20,20,13,120,132.2,108,1.36,0.42,0.5,0.94,1.87,3.23,1
284,272,80.5,77.3,77,6,22.6,7,4,7,6,4,93.5,105.9,88,-0.09,0.73,0.94,0.64,2.31,2.23,1
284,287,65.5,52.1,54,6,8.6,6,4,0,0,0,71.5,60.7,60,0.78,-0.98,-0.82,-0.5,-2.3,-1.52,6
284,277,75,69.1,66,0,18,0,4,2,1,0,77,88.1,66,0.38,1.4,-0.15,-0.66,0.6,0.98,4
284,277,66.5,62,73,9,13.2,10,4,2,1,0,77.5,76.2,83,-0.11,-0.32,1.17,0.23,1.09,0.98,4
284,281,64,58.3,64,0,0.6,0,4,1,0,0,65,58.9,64,0.33,-0.18,0.27,-0.44,-0.35,-0.02,5
284,277,74,68.7,68,3,13.4,3,4,2,1,0,79,83.1,71,1.21,-0.73,0.64,-0.14,-0.23,0.98,4
284,280,59.5,56.3,67,3,7,3,4,1,0,0,63.5,63.3,70,0.87,-0.14,-0.23,-0.27,-0.64,0.23,5
