hole_par,strokes,hole_DKP,hole_FDP,hole_SDP,streak_DKP,streak_FDP,streak_SDP,n_rounds,finish_DKP,finish_FDP,finish_SDP,total_DKP,total_FDP,total_SDP,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,Finish
288,289,60,51.1,56,3,7.6,3,4,2,1,0,65,59.7,59,0.2,-0.13,-0.08,0.86,0.65,0.85,4
288,286,72.5,61.5,61,8,13,3,4,5,4,2,85.5,78.5,66,0.36,0.75,0.31,0.18,1.24,1.6,2
288,287,63,55.7,58,3,7.2,3,4,3,2,0,69,64.9,61,2.05,0.74,-1.32,-0.12,-0.7,1.35,3
288,287,59.5,54,59,0,7.8,0,4,3,2,0,62.5,63.8,59,-0.96,-0.01,1.84,0.48,2.31,1.35,3
288,299,48.5,34.7,48,0,5.4,0,4,0,0,0,48.5,40.1,48,-0.82,-1.79,2,-1.04,-0.83,-1.65,6
288,291,61,48.9,54,3,2,3,4,1,0,0,65,50.9,57,0.28,-0.02,-0.18,0.26,0.07,0.35,5
288,279,72,69.3,72,0,8.6,0,4,20,20,13,92,97.9,85,1.16,0.05,1.96,0.18,2.19,3.35,1
288,286,62.5,56.1,61,0,7.8,0,4,5,4,2,67.5,67.9,63,0.12,0.66,0.17,0.65,1.48,1.6,2
288,275,77,75.5,82,6,16.2,8,4,30,30,15,113,121.7,105,0.95,1.31,1.25,0.84,3.39,4.35,1
288,289,69.5,58.2,57,0,12.4,0,4,2,1,0,71.5,71.6,57,1.94,0.43,-1.5,-0.03,-1.09,0.85,4
288,295,48,37.7,48,0,1,0,4,0,0,0,48,38.7,48,1.12,0.25,-1.1,-0.92,-1.77,-0.65,6
288,284,65.5,60.7,63,0,7.6,0,4,7,6,4,72.5,74.3,67,0.2,-0.22,1.26,0.86,1.9,2.1,1
288,300,51,35,38,3,2.4,3,4,0,0,0,54,37.4,41,-2.44,0.3,0.12,0.12,0.54,-1.9,6
288,285,72.5,60.2,65,3,19.4,3,4,6,5,3,81.5,84.6,71,-0.24,-0.47,2.03,0.53,2.09,1.85,2
288,294,51,37.2,54,0,0.8,0,4,0,0,0,51,38,54,0.19,-0.88,0.88,-0.6,-0.59,-0.4,6
288,286,60.5,55.5,61,0,6.2,0,4,5,4,2,65.5,65.7,63,0.52,-0.36,1.03,0.4,1.08,1.6,2
288,299,46,30.9,44,0,0.6,0,4,0,0,0,46,31.5,44,-1.4,-0.98,0.53,0.19,-0.26,-1.65,6
